Sample_name,Locus,Hash,nReads
MiMammal.0321.1Prt.Dn.1,MiMammal,8519a7f742cabfdb887dc2013feba40c4584b8db,55532
MiMammal.0321.1Prt.Dn.1,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1789
MiMammal.0321.1Prt.Dn.1,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,8225
MiMammal.0321.1Prt.Dn.1,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1839
MiMammal.0321.1Prt.Dn.1,MiMammal,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,4520
MiMammal.0321.1Prt.Dn.1,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,109
MiMammal.0321.1Prt.Dn.1,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,1009
MiMammal.0321.1Prt.Dn.1,MiMammal,63a7d0273f9bdd41fc062c411d5c529730a67ff1,2303
MiMammal.0321.1Prt.Dn.1,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,42
MiMammal.0321.1Prt.Dn.1,MiMammal,1a7f87ab0013574ad60f803c3d8d54cad2d15181,1651
MiMammal.0321.1Prt.Dn.1,MiMammal,1a50e3486cdc5423f8b831ff444cf54e91042554,1576
MiMammal.0321.1Prt.Dn.1,MiMammal,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,2
MiMammal.0321.1Prt.Dn.1,MiMammal,73bd07c218ab7e4ae33a1653d793820dc5cbb2c4,1384
MiMammal.0321.1Prt.Dn.1,MiMammal,a05528c413125215bde6d2205cba6d625e7228f9,754
MiMammal.0321.1Prt.Dn.1,MiMammal,e49a7966657c33a24529e6281ed3bcfc1422c6b4,641
MiMammal.0321.1Prt.Dn.1,MiMammal,5b6caeb888f690d3223af08d03fcc9785def9d0e,28
MiMammal.0321.1Prt.Dn.1,MiMammal,10e208d1ce645588da4c457f9ef5a12d73075532,145
MiMammal.0321.1Prt.Dn.1,MiMammal,4034e3f8d59651874847b26c07aed84914791e06,184
MiMammal.0321.1Prt.Dn.1,MiMammal,96cf57acc04a8266cc4efbcd460bd10e19a849a7,78
MiMammal.0321.1Prt.Dn.1,MiMammal,195cc1c7f2dd895425c1f7872e3ed4dfe4256c0f,54
MiMammal.0321.1Prt.Dn.1,MiMammal,de1202e63e91462d297d0fd7f1cbd722be9c539c,51
MiMammal.0321.1Prt.Dn.1,MiMammal,19ddb5ceef0dc2e1b723ce803c179231061e7447,43
MiMammal.0321.1Prt.Dn.1,MiMammal,f5e77b2d8a8ca49cd10b41aad5592334c7e1565a,29
